student_id;weekly_self_study_hours;attendance_percentage;class_participation;total_score;grade
1;24.4;85.7;8.9;97.9;A
2;18.0;73.0;6.8;83.9;B
3;23.3;98.5;9.4;100.0;A
4;29.1;94.7;9.2;100.0;A
5;26.7;98.4;9.0;92.0;A
6;23.1;88.6;8.1;97.5;A
7;25.7;91.5;8.3;100.0;A
8;18.6;84.0;9.3;96.1;A
9;9.8;67.5;3.0;69.8;C
10;10.7;85.6;7.1;80.3;B
11;5.5;52.5;3.4;66.4;C
12;16.5;73.4;5.4;72.5;B
13;23.2;91.6;7.6;95.2;A
14;6.3;59.7;4.4;60.9;C
15;4.4;37.6;1.6;52.1;D
16;13.0;84.4;7.0;73.5;B
17;6.4;55.6;4.7;63.0;C
18;25.9;98.3;7.8;100.0;A
19;10.4;85.2;5.7;75.4;B
20;11.1;67.5;3.9;57.9;C
21;29.7;91.1;6.6;100.0;A
22;10.1;77.3;6.9;79.0;B
23;11.9;78.3;5.0;76.3;B
24;9.0;54.0;3.8;58.7;C
25;11.1;62.2;4.6;68.3;C
26;21.1;87.9;9.8;97.2;A
27;6.6;57.6;4.8;68.4;C
28;27.2;86.3;7.7;100.0;A
29;6.8;53.5;2.7;63.6;C
30;22.8;97.1;9.8;89.2;A
31;12.4;68.7;5.3;77.4;B
32;17.2;98.3;7.6;100.0;A
33;12.5;74.8;5.7;82.6;B
34;15.9;86.5;6.3;71.9;B
35;21.5;87.1;9.5;97.4;A
36;11.2;70.6;5.0;61.6;C
37;23.0;85.1;7.4;99.5;A
38;2.5;42.2;1.4;50.1;D
39;7.6;73.0;3.8;56.7;C
40;11.8;73.0;5.9;84.0;B
41;18.0;99.0;6.7;100.0;A
42;17.3;90.9;7.4;100.0;A
43;11.9;68.8;4.4;63.6;C
44;19.8;83.1;8.4;100.0;A
45;6.5;54.9;3.2;55.9;C
46;27.9;80.2;7.7;89.6;A
47;12.0;83.4;6.5;78.7;B
48;21.0;85.8;9.4;90.3;A
49;16.1;83.6;5.6;71.0;B
50;1.7;51.4;1.6;51.1;D
51;11.7;74.4;6.7;82.7;B
52;18.2;86.6;7.6;91.0;A
53;16.7;99.9;9.1;92.7;A
54;20.6;84.2;6.9;100.0;A
55;14.3;99.0;7.1;100.0;A
56;14.3;90.6;6.5;100.0;A
57;13.7;76.7;6.9;76.9;B
58;25.6;85.8;8.7;91.9;A
59;17.2;81.2;8.5;89.5;A
60;22.6;96.1;7.7;100.0;A
61;15.0;68.2;4.6;71.2;B
62;11.1;71.8;6.8;81.9;B
63;10.9;72.3;3.4;67.1;C
64;12.3;65.3;3.1;69.9;C
65;20.3;89.3;8.6;96.5;A
66;24.0;83.3;7.1;100.0;A
67;11.3;81.1;5.4;80.4;B
68;22.9;95.4;8.1;92.2;A
69;17.6;70.2;5.2;83.6;B
70;14.8;73.1;5.8;78.8;B
71;26.0;80.4;7.0;93.2;A
