student_id;weekly_self_study_hours;attendance_percentage;class_participation;total_score;grade
800001;15.8;80.1;7.3;85.7;A
800002;16.0;96.1;7.7;97.1;A
800003;14.4;86.5;7.3;97.7;A
800004;15.6;75.6;5.0;79.1;B
800005;21.0;85.3;9.3;95.5;A
800006;16.9;84.3;8.1;97.7;A
800007;10.9;73.6;4.2;55.4;C
800008;27.7;95.9;8.7;100.0;A
800009;16.2;77.3;5.0;80.3;B
800010;17.0;87.6;5.4;72.8;B
800011;15.5;80.8;5.7;83.3;B
800012;15.5;81.8;6.6;100.0;A
800013;16.6;93.4;8.4;100.0;A
800014;20.4;87.9;9.9;97.8;A
800015;11.7;74.6;4.4;63.1;C
800016;22.6;85.3;9.9;100.0;A
800017;29.6;85.4;7.3;100.0;A
800018;6.8;59.2;1.9;48.6;D
800019;28.7;88.5;6.6;91.5;A
800020;2.0;43.6;1.5;53.4;D
800021;18.1;81.5;8.2;100.0;A
800022;13.0;87.7;5.2;82.1;B
800023;16.4;95.0;8.7;100.0;A
800024;14.9;78.0;4.5;76.9;B
800025;19.9;99.0;7.7;85.6;A
800026;11.1;82.8;6.2;83.8;B
800027;13.6;77.9;5.7;80.8;B
800028;11.8;58.3;3.8;68.3;C
800029;29.6;94.4;6.9;97.4;A
800030;17.3;99.1;8.5;98.5;A
800031;15.9;68.9;6.7;77.0;B
800032;14.5;78.3;6.4;79.9;B
800033;9.4;57.7;5.0;57.5;C
800034;26.2;87.5;6.8;91.9;A
800035;26.8;89.1;7.6;100.0;A
800036;15.5;69.7;7.5;74.7;B
800037;15.2;89.0;7.7;96.5;A
800038;27.3;99.2;9.6;85.9;A
800039;16.1;75.0;5.2;80.0;B
800040;21.7;80.9;7.6;95.9;A
800041;11.8;77.6;5.4;80.8;B
800042;26.4;99.6;9.0;98.3;A
800043;2.7;32.7;3.5;47.9;D
800044;26.7;93.4;8.9;91.7;A
800045;7.5;64.9;4.7;68.8;C
800046;18.3;91.3;8.8;90.0;A
800047;18.6;83.9;9.4;100.0;A
800048;22.5;89.3;6.8;100.0;A
800049;20.7;80.6;6.5;100.0;A
800050;29.0;94.1;7.8;96.4;A
800051;28.3;89.1;8.3;100.0;A
800052;14.1;81.6;4.7;79.5;B
800053;17.4;91.9;7.3;100.0;A
800054;18.9;86.9;7.7;87.8;A
800055;13.6;74.8;6.9;80.7;B
800056;19.8;94.9;7.6;100.0;A
800057;16.1;79.9;7.0;81.2;B
800058;10.1;64.6;3.6;66.5;C
800059;15.7;90.9;9.6;98.7;A
800060;10.6;77.3;5.1;81.1;B
800061;19.8;85.5;7.7;88.1;A
800062;18.1;94.0;8.4;92.9;A
800063;10.8;56.7;2.7;63.1;C
800064;16.2;85.1;8.5;100.0;A
800065;13.5;69.8;6.3;75.1;B
800066;8.9;63.7;3.9;62.5;C
800067;10.7;85.5;7.1;73.9;B
800068;28.0;89.3;9.4;100.0;A
800069;16.5;85.3;5.0;80.0;B
800070;21.5;96.7;9.0;96.3;A
800071;2.9;41.2;3.1;54.1;D
800072;20.0;84.0;8.0;98.2;A
800073;21.4;94.5;6.7;98.6;A
800074;12.9;69.0;4.7;65.1;C
800075;15.6;88.2;7.7;100.0;A
800076;26.7;86.2;7.6;100.0;A
800077;10.8;86.8;7.2;79.6;B
800078;27.9;88.1;8.0;95.9;A
800079;22.2;87.4;7.3;95.4;A
800080;29.7;85.3;6.8;100.0;A
800081;16.3;95.0;8.8;100.0;A
800082;21.4;94.5;9.1;100.0;A
800083;19.4;90.0;9.0;87.4;A
800084;11.6;86.0;6.7;78.3;B
800085;18.8;94.8;7.0;97.3;A
800086;26.8;87.5;7.7;100.0;A
800087;29.2;88.5;7.9;88.5;A
800088;11.7;60.6;4.0;59.8;C
800089;14.0;72.6;7.3;80.6;B
800090;21.9;85.1;7.5;100.0;A
800091;16.7;68.5;6.4;80.1;B
800092;23.2;81.5;6.8;100.0;A
800093;5.6;69.9;5.0;69.3;C
800094;29.4;93.7;9.2;100.0;A
