obj_ID;alpha;delta;u;g;r;i;z;run_ID;rerun_ID;cam_col;field_ID;spec_obj_ID;class;redshift;plate;MJD;fiber_ID
1,23768E+18;33,82820599;-3,587141097;24,14002;25,33319;21,3655;20,17523;19,21571;7865;301;5;140;8,87561E+18;GALAXY;0,7516561;7883;57331;529
1,23767E+18;46,90440384;0,313528718;23,19009;20,67206;18,82747;18,09639;17,67269;4849;301;4;768;1,75995E+18;GALAXY;0,3645191;1563;52941;622
1,23767E+18;46,73202979;0,292242681;24,04165;23,93427;23,04362;22,57506;21,93993;4849;301;4;767;9,04198E+17;STAR;-0,002420401;803;52318;365
1,23766E+18;196,1114746;6,917343293;16,73371;16,74125;17,13461;17,4057;17,67586;3842;301;2;100;2,02107E+18;STAR;-4,14E-05;1795;54507;303
1,23766E+18;184,0252558;6,927688984;22,51037;21,49923;21,34253;21,52199;20,97556;3842;301;2;20;5,44052E+18;STAR;0,00024016;4832;55680;634
1,23768E+18;330,1751225;16,05364626;22,82048;21,43489;19,50485;18,79633;18,54174;8096;301;2;37;5,69843E+18;GALAXY;0,37655;5061;55806;894
1,23766E+18;256,780731;34,59194775;22,68471;21,54887;21,35813;21,45094;20,92428;2335;301;4;81;5,61602E+18;STAR;-0,000538836;4988;55825;126
1,23767E+18;53,61013544;0,352572873;22,01279;20,14272;18,71218;18,02596;17,42321;4849;301;4;813;9,12106E+17;GALAXY;0,3118833;810;52672;463
1,23766E+18;211,0789339;40,19323067;25,50276;21,80279;21,14368;21,03799;20,72985;3893;301;5;306;5,81991E+18;STAR;-0,000155968;5169;56045;494
1,23766E+18;210,2744902;40,49389456;20,93983;20,25966;20,26439;20,16888;19,77592;3893;301;5;302;9,57591E+18;QSO;2,337653;8505;57834;468
1,23767E+18;226,058827;56,80037122;20,66323;19,74944;19,32803;19,03384;18,87143;6162;301;3;18;7,65066E+18;QSO;2,741069;6795;56425;604
1,23766E+18;165,6153624;38,18710383;24,00906;23,17766;21,4107;20,17781;19,49043;4469;301;3;347;9,96437E+18;GALAXY;0,6342416;8850;57782;561
1,23766E+18;152,9564513;35,253284;25,31739;23,06189;21,84988;20,74859;19,92234;4469;301;3;277;9,97105E+18;GALAXY;0,5518131;8856;57453;295
1,23768E+18;318,3468917;1,076348241;23,28494;21,85624;21,649;21,72919;21,02736;7717;301;2;51;5,78832E+18;QSO;2,269692;5141;55746;231
1,23766E+18;163,1897527;37,78578142;22,68815;21,37466;20,13179;19,34677;18,85182;4469;301;3;334;5,21313E+18;GALAXY;0,5256061;4630;55623;769
